Dataset,MSE,MAE,R2,Units,Dropout,Learning_Rate,Weight_Decay,Epochs,Activation,Optimizer,Patience
filtered_00001.csv,0.42435330152511597,0.5276957154273987,0.6804487705230713,"[16, 16, 8, 8]",0.2,0.0001,0.0001,350,tanh,sgd,15
filtered_0001.csv,0.5161862969398499,0.5867737531661987,0.6767823100090027,"[16, 16, 8, 8]",0.3,0.0001,1e-05,450,tanh,sgd,15
filtered_001.csv,0.6723371744155884,0.63507479429245,0.4915112853050232,"[24, 16, 16, 8]",0.2,0.001,0.0001,350,tanh,adam,15
filtered_005.csv,0.24482478201389313,0.37848612666130066,0.8070440292358398,"[24, 16, 16, 8]",0.2,0.001,1e-05,350,relu,adam,15
