Trial,MSE,MAE,R2,Units,Dropout,Learning_Rate,Weight_Decay,Epochs,Activation,Optimizer,Patience
1,0.4289921820163727,0.5102630853652954,0.6618945598602295,"[24, 16, 16, 8]",0.2,0.001,0.0001,250,relu,adam,15
2,0.2565518617630005,0.38334545493125916,0.7978014945983887,"[24, 16, 16, 8]",0.2,0.001,1e-05,250,relu,adam,15
3,8.138606071472168,2.6793415546417236,-5.4143524169921875,"[24, 16, 16, 8]",0.2,0.0001,0.0001,250,relu,adam,15
4,5.973837375640869,2.243211507797241,-3.7082138061523438,"[24, 16, 16, 8]",0.2,0.0001,1e-05,250,relu,adam,15
5,0.2500637471675873,0.38781601190567017,0.8029149770736694,"[24, 16, 16, 8]",0.3,0.001,0.0001,250,relu,adam,15
6,0.43349942564964294,0.570192813873291,0.6583422422409058,"[24, 16, 16, 8]",0.3,0.001,1e-05,250,relu,adam,15
7,7.085812568664551,2.4564568996429443,-4.5846052169799805,"[24, 16, 16, 8]",0.3,0.0001,0.0001,250,relu,adam,15
8,5.9351043701171875,2.2424280643463135,-3.677687168121338,"[24, 16, 16, 8]",0.3,0.0001,1e-05,250,relu,adam,15
9,0.5320812463760376,0.5841608047485352,0.5806460380554199,"[24, 16, 16, 8]",0.2,0.001,0.0001,250,relu,sgd,15
10,0.6324586272239685,0.6875896453857422,0.5015347003936768,"[24, 16, 16, 8]",0.2,0.001,1e-05,250,relu,sgd,15
11,0.24688974022865295,0.41494932770729065,0.8054165840148926,"[24, 16, 16, 8]",0.2,0.0001,0.0001,250,relu,sgd,15
12,0.5882135033607483,0.6461518406867981,0.5364060401916504,"[24, 16, 16, 8]",0.2,0.0001,1e-05,250,relu,sgd,15
13,0.6485644578933716,0.7212897539138794,0.48884105682373047,"[24, 16, 16, 8]",0.3,0.001,0.0001,250,relu,sgd,15
14,0.8037220239639282,0.7808260321617126,0.3665553331375122,"[24, 16, 16, 8]",0.3,0.001,1e-05,250,relu,sgd,15
15,0.5951880216598511,0.6364659667015076,0.5309091806411743,"[24, 16, 16, 8]",0.3,0.0001,0.0001,250,relu,sgd,15
16,0.5280100703239441,0.5835079550743103,0.5838546752929688,"[24, 16, 16, 8]",0.3,0.0001,1e-05,250,relu,sgd,15
17,0.7751138806343079,0.7741782069206238,0.389102578163147,"[24, 16, 16, 8]",0.2,0.001,0.0001,250,tanh,adam,15
18,0.2945554852485657,0.45027464628219604,0.767849326133728,"[24, 16, 16, 8]",0.2,0.001,1e-05,250,tanh,adam,15
19,5.648362159729004,2.303422689437866,-3.4516944885253906,"[24, 16, 16, 8]",0.2,0.0001,0.0001,250,tanh,adam,15
