Trial,MSE,MAE,R2,Units,Dropout,Learning_Rate,Weight_Decay,Epochs,Activation,Optimizer,Patience
42,1.1425060033798218,0.9077983498573303,0.13592249155044556,"[24, 16, 16, 8]",0.2,0.001,1e-05,350,relu,sgd,15
43,1.4812320470809937,1.0278879404067993,-0.12025606632232666,"[24, 16, 16, 8]",0.2,0.0001,0.0001,350,relu,sgd,15
44,1.8819494247436523,1.2146912813186646,-0.42331862449645996,"[24, 16, 16, 8]",0.2,0.0001,1e-05,350,relu,sgd,15
45,1.6877338886260986,1.1825144290924072,-0.2764333486557007,"[24, 16, 16, 8]",0.3,0.001,0.0001,350,relu,sgd,15
46,1.2213364839553833,0.9233404994010925,0.07630306482315063,"[24, 16, 16, 8]",0.3,0.001,1e-05,350,relu,sgd,15
47,2.939122438430786,1.4739102125167847,-1.2228586673736572,"[24, 16, 16, 8]",0.3,0.0001,0.0001,350,relu,sgd,15
48,2.0898706912994385,1.1818598508834839,-0.5805695056915283,"[24, 16, 16, 8]",0.3,0.0001,1e-05,350,relu,sgd,15
49,0.6723371744155884,0.63507479429245,0.4915112853050232,"[24, 16, 16, 8]",0.2,0.001,0.0001,350,tanh,adam,15
50,0.9848493337631226,0.7728707194328308,0.25515830516815186,"[24, 16, 16, 8]",0.2,0.001,1e-05,350,tanh,adam,15
51,8.691731452941895,2.81111216545105,-5.573557376861572,"[24, 16, 16, 8]",0.2,0.0001,0.0001,350,tanh,adam,15
52,10.247602462768555,3.0631141662597656,-6.75026273727417,"[24, 16, 16, 8]",0.2,0.0001,1e-05,350,tanh,adam,15
53,0.9369359016418457,0.6999424695968628,0.29139524698257446,"[24, 16, 16, 8]",0.3,0.001,0.0001,350,tanh,adam,15
54,0.7552236914634705,0.6884459257125854,0.428824245929718,"[24, 16, 16, 8]",0.3,0.001,1e-05,350,tanh,adam,15
55,9.103893280029297,2.8464033603668213,-5.885275840759277,"[24, 16, 16, 8]",0.3,0.0001,0.0001,350,tanh,adam,15
56,10.305411338806152,3.056535482406616,-6.7939839363098145,"[24, 16, 16, 8]",0.3,0.0001,1e-05,350,tanh,adam,15
57,1.0503612756729126,0.6708884835243225,0.20561158657073975,"[24, 16, 16, 8]",0.2,0.001,0.0001,350,tanh,sgd,15
58,0.9766183495521545,0.7238321304321289,0.26138341426849365,"[24, 16, 16, 8]",0.2,0.001,1e-05,350,tanh,sgd,15
59,1.3594200611114502,0.8110434412956238,-0.02812957763671875,"[24, 16, 16, 8]",0.2,0.0001,0.0001,350,tanh,sgd,15
60,0.8225521445274353,0.6219464540481567,0.37790369987487793,"[24, 16, 16, 8]",0.2,0.0001,1e-05,350,tanh,sgd,15
61,0.8425872921943665,0.7171387076377869,0.3627511262893677,"[24, 16, 16, 8]",0.3,0.001,0.0001,350,tanh,sgd,15
62,0.8100771307945251,0.6992387771606445,0.3873385787010193,"[24, 16, 16, 8]",0.3,0.001,1e-05,350,tanh,sgd,15
63,1.0115244388580322,0.7211518883705139,0.23498398065567017,"[24, 16, 16, 8]",0.3,0.0001,0.0001,350,tanh,sgd,15
64,1.1579660177230835,0.7866789698600769,0.12423008680343628,"[24, 16, 16, 8]",0.3,0.0001,1e-05,350,tanh,sgd,15
65,1.0145533084869385,0.8274021148681641,0.23269319534301758,"[24, 16, 16, 8]",0.2,0.001,0.0001,450,relu,adam,15
66,1.6331002712249756,1.0586752891540527,-0.2351139783859253,"[24, 16, 16, 8]",0.2,0.001,1e-05,450,relu,adam,15
67,12.799302101135254,3.3994781970977783,-8.680113792419434,"[24, 16, 16, 8]",0.2,0.0001,0.0001,450,relu,adam,15
68,13.087151527404785,3.4612743854522705,-8.897814750671387,"[24, 16, 16, 8]",0.2,0.0001,1e-05,450,relu,adam,15
69,1.6347514390945435,1.0629879236221313,-0.23636269569396973,"[24, 16, 16, 8]",0.3,0.001,0.0001,450,relu,adam,15
70,1.6988897323608398,1.067923903465271,-0.2848705053329468,"[24, 16, 16, 8]",0.3,0.001,1e-05,450,relu,adam,15
71,11.883143424987793,3.2693755626678467,-7.9872236251831055,"[24, 16, 16, 8]",0.3,0.0001,0.0001,450,relu,adam,15
72,13.729596138000488,3.534540891647339,-9.383695602416992,"[24, 16, 16, 8]",0.3,0.0001,1e-05,450,relu,adam,15
73,1.4656251668930054,1.0381090641021729,-0.10845255851745605,"[24, 16, 16, 8]",0.2,0.001,0.0001,450,relu,sgd,15
74,1.32025146484375,0.9904313087463379,0.0014936327934265137,"[24, 16, 16, 8]",0.2,0.001,1e-05,450,relu,sgd,15
75,1.3646599054336548,1.011102318763733,-0.03209245204925537,"[24, 16, 16, 8]",0.2,0.0001,0.0001,450,relu,sgd,15
76,2.9331841468811035,1.4555312395095825,-1.218367576599121,"[24, 16, 16, 8]",0.2,0.0001,1e-05,450,relu,sgd,15
77,1.4026548862457275,0.9993170499801636,-0.06082808971405029,"[24, 16, 16, 8]",0.3,0.001,0.0001,450,relu,sgd,15
78,1.378806710243225,1.0022977590560913,-0.04279172420501709,"[24, 16, 16, 8]",0.3,0.001,1e-05,450,relu,sgd,15
79,1.9423102140426636,1.2137181758880615,-0.468969464302063,"[24, 16, 16, 8]",0.3,0.0001,0.0001,450,relu,sgd,15
80,2.290400266647339,1.3496904373168945,-0.7322300672531128,"[24, 16, 16, 8]",0.3,0.0001,1e-05,450,relu,sgd,15
81,0.8740457892417908,0.6995736360549927,0.3389590382575989,"[24, 16, 16, 8]",0.2,0.001,0.0001,450,tanh,adam,15
82,0.7160343527793884,0.6547812223434448,0.4584631323814392,"[24, 16, 16, 8]",0.2,0.001,1e-05,450,tanh,adam,15
83,11.96827507019043,3.3228511810302734,-8.051608085632324,"[24, 16, 16, 8]",0.2,0.0001,0.0001,450,tanh,adam,15
84,8.766773223876953,2.7969436645507812,-5.630311965942383,"[24, 16, 16, 8]",0.2,0.0001,1e-05,450,tanh,adam,15
85,0.9286008477210999,0.711338996887207,0.2976990342140198,"[24, 16, 16, 8]",0.3,0.001,0.0001,450,tanh,adam,15
86,1.108948826789856,0.7555798888206482,0.161301851272583,"[24, 16, 16, 8]",0.3,0.001,1e-05,450,tanh,adam,15
87,12.164822578430176,3.3506641387939453,-8.20025634765625,"[24, 16, 16, 8]",0.3,0.0001,0.0001,450,tanh,adam,15
88,10.959846496582031,3.1831510066986084,-7.288933753967285,"[24, 16, 16, 8]",0.3,0.0001,1e-05,450,tanh,adam,15
89,1.0054117441177368,0.6373146772384644,0.23960697650909424,"[24, 16, 16, 8]",0.2,0.001,0.0001,450,tanh,sgd,15
90,0.9929839968681335,0.7305137515068054,0.24900603294372559,"[24, 16, 16, 8]",0.2,0.001,1e-05,450,tanh,sgd,15
91,1.0910378694534302,0.7166399359703064,0.17484796047210693,"[24, 16, 16, 8]",0.2,0.0001,0.0001,450,tanh,sgd,15
92,1.0741939544677734,0.7253760099411011,0.1875869631767273,"[24, 16, 16, 8]",0.2,0.0001,1e-05,450,tanh,sgd,15
93,0.9131803512573242,0.6613066792488098,0.3093615770339966,"[24, 16, 16, 8]",0.3,0.001,0.0001,450,tanh,sgd,15
94,0.7858701348304749,0.6837435960769653,0.40564632415771484,"[24, 16, 16, 8]",0.3,0.001,1e-05,450,tanh,sgd,15
95,1.32306706905365,0.8921769857406616,-0.0006358623504638672,"[24, 16, 16, 8]",0.3,0.0001,0.0001,450,tanh,sgd,15
96,0.9798254370689392,0.7597740888595581,0.2589579224586487,"[24, 16, 16, 8]",0.3,0.0001,1e-05,450,tanh,sgd,15
97,1.629356026649475,0.9912933111190796,-0.23228216171264648,"[32, 16, 8, 8]",0.2,0.001,0.0001,250,relu,adam,15
98,1.9014967679977417,1.1792913675308228,-0.43810224533081055,"[32, 16, 8, 8]",0.2,0.001,1e-05,250,relu,adam,15
99,12.476385116577148,3.3908603191375732,-8.435891151428223,"[32, 16, 8, 8]",0.2,0.0001,0.0001,250,relu,adam,15
100,12.966876029968262,3.4241597652435303,-8.80685043334961,"[32, 16, 8, 8]",0.2,0.0001,1e-05,250,relu,adam,15
101,1.7440017461776733,1.1360996961593628,-0.3189888000488281,"[32, 16, 8, 8]",0.3,0.001,0.0001,250,relu,adam,15
102,1.7822977304458618,1.158652663230896,-0.3479520082473755,"[32, 16, 8, 8]",0.3,0.001,1e-05,250,relu,adam,15
103,12.00756549835205,3.272082805633545,-8.08132266998291,"[32, 16, 8, 8]",0.3,0.0001,0.0001,250,relu,adam,15
104,10.961522102355957,3.090834379196167,-7.290200233459473,"[32, 16, 8, 8]",0.3,0.0001,1e-05,250,relu,adam,15
105,1.4395358562469482,1.0165213346481323,-0.08872115612030029,"[32, 16, 8, 8]",0.2,0.001,0.0001,250,relu,sgd,15
106,1.3942252397537231,0.9893702864646912,-0.05445277690887451,"[32, 16, 8, 8]",0.2,0.001,1e-05,250,relu,sgd,15
107,2.650247812271118,1.3026964664459229,-1.004382848739624,"[32, 16, 8, 8]",0.2,0.0001,0.0001,250,relu,sgd,15
