Trial,MSE,MAE,R2,Units,Dropout,Learning_Rate,Weight_Decay,Epochs,Activation,Optimizer,Patience
1,0.843103289604187,0.6859221458435059,0.36511707305908203,"[24, 16, 16, 8]",0.2,0.001,0.0001,250,relu,adam,15
2,0.7140580415725708,0.6080774068832397,0.4622921347618103,"[24, 16, 16, 8]",0.2,0.001,1e-05,250,relu,adam,15
3,7.488654613494873,2.542693614959717,-4.63918924331665,"[24, 16, 16, 8]",0.2,0.0001,0.0001,250,relu,adam,15
4,9.397811889648438,2.840362071990967,-6.076843738555908,"[24, 16, 16, 8]",0.2,0.0001,1e-05,250,relu,adam,15
5,0.8135137557983398,0.6050335168838501,0.387398898601532,"[24, 16, 16, 8]",0.3,0.001,0.0001,250,relu,adam,15
6,0.9252549409866333,0.6982473134994507,0.30325430631637573,"[24, 16, 16, 8]",0.3,0.001,1e-05,250,relu,adam,15
7,6.8440470695495605,2.3651206493377686,-4.15377950668335,"[24, 16, 16, 8]",0.3,0.0001,0.0001,250,relu,adam,15
8,5.7976555824279785,2.1963374614715576,-3.365814208984375,"[24, 16, 16, 8]",0.3,0.0001,1e-05,250,relu,adam,15
9,0.7941715121269226,0.5858049988746643,0.4019641876220703,"[24, 16, 16, 8]",0.2,0.001,0.0001,250,relu,sgd,15
10,0.6611186861991882,0.643429696559906,0.5021570920944214,"[24, 16, 16, 8]",0.2,0.001,1e-05,250,relu,sgd,15
11,0.8604052662849426,0.6763334274291992,0.35208815336227417,"[24, 16, 16, 8]",0.2,0.0001,0.0001,250,relu,sgd,15
12,0.777953028678894,0.6222540736198425,0.4141772389411926,"[24, 16, 16, 8]",0.2,0.0001,1e-05,250,relu,sgd,15
13,0.9228304028511047,0.7039562463760376,0.3050801157951355,"[24, 16, 16, 8]",0.3,0.001,0.0001,250,relu,sgd,15
14,0.8274940252304077,0.6508288979530334,0.37687134742736816,"[24, 16, 16, 8]",0.3,0.001,1e-05,250,relu,sgd,15
15,0.6582426428794861,0.6102513074874878,0.50432288646698,"[24, 16, 16, 8]",0.3,0.0001,0.0001,250,relu,sgd,15
16,1.1235824823379517,0.7642268538475037,0.15390753746032715,"[24, 16, 16, 8]",0.3,0.0001,1e-05,250,relu,sgd,15
17,0.7519259452819824,0.7641986608505249,0.4337764382362366,"[24, 16, 16, 8]",0.2,0.001,0.0001,250,tanh,adam,15
18,0.6674261689186096,0.7048055529594421,0.49740737676620483,"[24, 16, 16, 8]",0.2,0.001,1e-05,250,tanh,adam,15
19,4.827883243560791,2.0210394859313965,-2.6355457305908203,"[24, 16, 16, 8]",0.2,0.0001,0.0001,250,tanh,adam,15
20,6.449493408203125,2.386644124984741,-3.856668472290039,"[24, 16, 16, 8]",0.2,0.0001,1e-05,250,tanh,adam,15
21,0.6184083223342896,0.6353331208229065,0.5343193411827087,"[24, 16, 16, 8]",0.3,0.001,0.0001,250,tanh,adam,15
22,0.5902288556098938,0.6345426440238953,0.5555393695831299,"[24, 16, 16, 8]",0.3,0.001,1e-05,250,tanh,adam,15
23,7.297619819641113,2.5865447521209717,-4.495334148406982,"[24, 16, 16, 8]",0.3,0.0001,0.0001,250,tanh,adam,15
24,7.8214111328125,2.652514696121216,-4.88976526260376,"[24, 16, 16, 8]",0.3,0.0001,1e-05,250,tanh,adam,15
25,0.5042508244514465,0.6063932180404663,0.6202834844589233,"[24, 16, 16, 8]",0.2,0.001,0.0001,250,tanh,sgd,15
26,0.6532060503959656,0.666022002696991,0.5081155300140381,"[24, 16, 16, 8]",0.2,0.001,1e-05,250,tanh,sgd,15
27,0.5815023183822632,0.6646122336387634,0.5621107220649719,"[24, 16, 16, 8]",0.2,0.0001,0.0001,250,tanh,sgd,15
28,0.507135808467865,0.6207504272460938,0.6181110143661499,"[24, 16, 16, 8]",0.2,0.0001,1e-05,250,tanh,sgd,15
29,0.49030306935310364,0.5603603720664978,0.6307865381240845,"[24, 16, 16, 8]",0.3,0.001,0.0001,250,tanh,sgd,15
30,0.6132050156593323,0.632823646068573,0.5382375717163086,"[24, 16, 16, 8]",0.3,0.001,1e-05,250,tanh,sgd,15
31,0.5504068732261658,0.6008819937705994,0.5855265259742737,"[24, 16, 16, 8]",0.3,0.0001,0.0001,250,tanh,sgd,15
32,0.6099697351455688,0.6681836247444153,0.5406738519668579,"[24, 16, 16, 8]",0.3,0.0001,1e-05,250,tanh,sgd,15
33,0.6550057530403137,0.5790901184082031,0.5067603588104248,"[24, 16, 16, 8]",0.2,0.001,0.0001,350,relu,adam,15
34,1.1643002033233643,0.7597212195396423,0.12324583530426025,"[24, 16, 16, 8]",0.2,0.001,1e-05,350,relu,adam,15
35,9.31775188446045,2.8883907794952393,-6.016556262969971,"[24, 16, 16, 8]",0.2,0.0001,0.0001,350,relu,adam,15
36,6.801769256591797,2.382476806640625,-4.12194299697876,"[24, 16, 16, 8]",0.2,0.0001,1e-05,350,relu,adam,15
37,0.9041550755500793,0.7520379424095154,0.31914323568344116,"[24, 16, 16, 8]",0.3,0.001,0.0001,350,relu,adam,15
38,0.631938099861145,0.5847193002700806,0.5241310000419617,"[24, 16, 16, 8]",0.3,0.001,1e-05,350,relu,adam,15
39,7.1563215255737305,2.4397411346435547,-4.388931751251221,"[24, 16, 16, 8]",0.3,0.0001,0.0001,350,relu,adam,15
40,9.20831298828125,2.80268931388855,-5.934145450592041,"[24, 16, 16, 8]",0.3,0.0001,1e-05,350,relu,adam,15
