Trial,MSE,MAE,R2,Units,Dropout,Learning_Rate,Weight_Decay,Epochs,Activation,Optimizer,Patience
1,0.960466742515564,0.7754465937614441,0.398589551448822,"[24, 16, 16, 8]",0.2,0.001,0.0001,250,relu,adam,15
2,1.6589208841323853,1.0714622735977173,-0.0387578010559082,"[24, 16, 16, 8]",0.2,0.001,1e-05,250,relu,adam,15
3,9.020133972167969,2.726208209991455,-4.648090362548828,"[24, 16, 16, 8]",0.2,0.0001,0.0001,250,relu,adam,15
4,7.2653679847717285,2.4033799171447754,-3.5493173599243164,"[24, 16, 16, 8]",0.2,0.0001,1e-05,250,relu,adam,15
5,1.218657374382019,0.920052707195282,0.23691970109939575,"[24, 16, 16, 8]",0.3,0.001,0.0001,250,relu,adam,15
6,1.0312892198562622,0.8570443391799927,0.3542429804801941,"[24, 16, 16, 8]",0.3,0.001,1e-05,250,relu,adam,15
7,9.840356826782227,2.896425485610962,-5.161684989929199,"[24, 16, 16, 8]",0.3,0.0001,0.0001,250,relu,adam,15
8,10.121737480163574,2.9746506214141846,-5.337875843048096,"[24, 16, 16, 8]",0.3,0.0001,1e-05,250,relu,adam,15
9,1.2581977844238281,0.9412747621536255,0.21216082572937012,"[24, 16, 16, 8]",0.2,0.001,0.0001,250,relu,sgd,15
10,1.1948646306991577,0.9116635918617249,0.25181782245635986,"[24, 16, 16, 8]",0.2,0.001,1e-05,250,relu,sgd,15
11,1.8719197511672974,1.1310447454452515,-0.17213022708892822,"[24, 16, 16, 8]",0.2,0.0001,0.0001,250,relu,sgd,15
12,0.9836857914924622,0.7880558371543884,0.3840506076812744,"[24, 16, 16, 8]",0.2,0.0001,1e-05,250,relu,sgd,15
13,1.358245849609375,0.9501171708106995,0.14951425790786743,"[24, 16, 16, 8]",0.3,0.001,0.0001,250,relu,sgd,15
14,1.2352840900421143,0.952802300453186,0.22650855779647827,"[24, 16, 16, 8]",0.3,0.001,1e-05,250,relu,sgd,15
15,1.0286226272583008,0.8723677396774292,0.3559127449989319,"[24, 16, 16, 8]",0.3,0.0001,0.0001,250,relu,sgd,15
16,1.1173492670059204,0.8491316437721252,0.3003551959991455,"[24, 16, 16, 8]",0.3,0.0001,1e-05,250,relu,sgd,15
17,0.8025798797607422,0.6617550253868103,0.4974527359008789,"[24, 16, 16, 8]",0.2,0.001,0.0001,250,tanh,adam,15
18,0.8410051465034485,0.7503873109817505,0.47339218854904175,"[24, 16, 16, 8]",0.2,0.001,1e-05,250,tanh,adam,15
19,8.698893547058105,2.779780626296997,-4.446940898895264,"[24, 16, 16, 8]",0.2,0.0001,0.0001,250,tanh,adam,15
20,7.859645843505859,2.6144115924835205,-3.921433448791504,"[24, 16, 16, 8]",0.2,0.0001,1e-05,250,tanh,adam,15
21,0.8757495880126953,0.7073644995689392,0.4516364336013794,"[24, 16, 16, 8]",0.3,0.001,0.0001,250,tanh,adam,15
22,0.8053103685379028,0.717804491519928,0.4957429766654968,"[24, 16, 16, 8]",0.3,0.001,1e-05,250,tanh,adam,15
