repeat,dataset,dataset size,MSE,MAE,R2
repeat0,merged_data.csv,11092,2.698,1.242,0.65
repeat1,merged_data.csv,11092,2.514,1.241,0.664
repeat2,merged_data.csv,11092,2.5,1.192,0.683
repeat3,merged_data.csv,11092,2.361,1.196,0.657
repeat4,merged_data.csv,11092,2.383,1.166,0.685
