Trial,MSE,MAE,R2,Convolutions,Units,Dropout,Learning_Rate,Weight_Decay,Epochs,Activation,Optimizer,Patience
36,0.8660957217216492,0.756388247013092,-0.008137702941894531,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0001,1e-05,250,relu,sgd,20
37,0.5595903396606445,0.6632413864135742,0.34863537549972534,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.001,0.0001,250,relu,adamw,20
38,1.683325171470642,1.0568050146102905,-0.9593950510025024,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.001,1e-05,250,relu,adamw,20
39,0.739321231842041,0.7016609907150269,0.13942813873291016,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0005,0.0001,250,relu,adamw,20
40,0.6068705320358276,0.5993603467941284,0.2936010956764221,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0005,1e-05,250,relu,adamw,20
41,6.751549243927002,2.455183506011963,-6.858821392059326,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0001,0.0001,250,relu,adamw,20
42,6.090945720672607,2.3404784202575684,-6.089877128601074,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0001,1e-05,250,relu,adamw,20
43,0.5019744038581848,0.5567401647567749,0.41570043563842773,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.001,0.0001,250,relu,adamw,20
44,0.5165404081344604,0.594360888004303,0.398745596408844,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.001,1e-05,250,relu,adamw,20
45,0.601745069026947,0.6505065560340881,0.29956716299057007,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0005,0.0001,250,relu,adamw,20
46,2.167548179626465,1.2374321222305298,-1.5230319499969482,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0005,1e-05,250,relu,adamw,20
47,7.952652931213379,2.698564291000366,-8.256909370422363,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0001,0.0001,250,relu,adamw,20
48,5.208061218261719,2.1391713619232178,-5.062197208404541,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0001,1e-05,250,relu,adamw,20
49,0.6292933225631714,0.6495333909988403,0.26750093698501587,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.001,0.0001,250,relu,adamw,20
50,0.7373730540275574,0.7135613560676575,0.1416957974433899,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.001,1e-05,250,relu,adamw,20
51,1.8700151443481445,1.1848936080932617,-1.1767024993896484,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0005,0.0001,250,relu,adamw,20
52,1.0657209157943726,0.8815034031867981,-0.2405019998550415,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0005,1e-05,250,relu,adamw,20
53,5.542172908782959,2.1914467811584473,-5.451104164123535,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0001,0.0001,250,relu,adamw,20
54,7.72088098526001,2.6153998374938965,-7.987125396728516,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0001,1e-05,250,relu,adamw,20
55,0.807428777217865,0.7131767272949219,0.060150742530822754,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.001,0.0001,250,relu,rmsprop,20
56,0.8296494483947754,0.7829625010490417,0.03428584337234497,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.001,1e-05,250,relu,rmsprop,20
57,0.6550764441490173,0.7078986763954163,0.23748928308486938,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0005,0.0001,250,relu,rmsprop,20
58,0.5037094950675964,0.5697606205940247,0.4136807918548584,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0005,1e-05,250,relu,rmsprop,20
59,0.6465440988540649,0.6478446125984192,0.24742090702056885,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0001,0.0001,250,relu,rmsprop,20
60,0.5559885501861572,0.6156463623046875,0.35282784700393677,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0001,1e-05,250,relu,rmsprop,20
61,0.9500269293785095,0.8044430613517761,-0.10583388805389404,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.001,0.0001,250,relu,rmsprop,20
62,0.5595742464065552,0.6392729878425598,0.3486540913581848,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.001,1e-05,250,relu,rmsprop,20
63,0.9594954252243042,0.7794504165649414,-0.11685526371002197,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0005,0.0001,250,relu,rmsprop,20
64,0.5604042410850525,0.5982890129089355,0.3476879596710205,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0005,1e-05,250,relu,rmsprop,20
65,0.4688500761985779,0.5542060136795044,0.4542572498321533,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0001,0.0001,250,relu,rmsprop,20
66,0.6271284222602844,0.625180184841156,0.27002090215682983,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0001,1e-05,250,relu,rmsprop,20
67,0.6321626305580139,0.6900411248207092,0.26416099071502686,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.001,0.0001,250,relu,rmsprop,20
68,1.168405532836914,0.8347422480583191,-0.3600271940231323,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.001,1e-05,250,relu,rmsprop,20
69,0.7721920609474182,0.6756104230880737,0.10116636753082275,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0005,0.0001,250,relu,rmsprop,20
70,0.7969576716423035,0.6925128698348999,0.07233911752700806,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0005,1e-05,250,relu,rmsprop,20
71,0.7397539019584656,0.7116250395774841,0.1389244794845581,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0001,0.0001,250,relu,rmsprop,20
